IFI6	rgb(0,0,0)
MX1	rgb(0,0,0)
ASPM	rgb(0,0,0)
FCRL5	rgb(0,0,0)
LIPA	rgb(0,0,0)
MKI67	rgb(0,0,0)
ABCA13	rgb(0,0,0)
HPGD	rgb(0,0,0)
JUP	rgb(0,0,0)
TMOD2	rgb(255,0,255)
EPHB4	rgb(0,0,0)
HERC5	rgb(0,0,0)
SAMD12	rgb(0,0,0)
DNAJC6	rgb(0,0,0)
JAK1	rgb(0,0,0)
NRG1	rgb(0,0,0)
IFIT1	rgb(0,0,0)
OAS3	rgb(0,0,0)
MYL4	rgb(0,0,0)
C14orf2	rgb(0,0,0)
CEACAM6	rgb(255,0,255)
KLRD1	rgb(0,0,0)
SELENBP1	rgb(255,0,255)
TCN1	rgb(0,0,0)
LSM3	rgb(0,0,0)
ALOX15	rgb(0,0,0)
GZMH	rgb(0,0,0)
OASL	rgb(0,0,0)
CD24	rgb(0,0,0)
HLA-DOB	rgb(0,0,0)
CD177	rgb(0,0,0)
AK5	rgb(0,0,0)
ITGB3	rgb(0,0,0)
GSTM2	rgb(0,0,0)
PTPRM	rgb(0,0,0)
DNAJA4	rgb(0,0,0)
DNM3	rgb(0,0,0)
OLR1	rgb(0,0,0)
KLRB1	rgb(0,0,0)
FCRLA	rgb(0,0,0)
LIPC	rgb(0,0,0)
RHD	rgb(255,0,255)
SLAMF7	rgb(0,0,0)
CSGALNACT1	rgb(0,0,0)
HEMGN	rgb(0,0,0)
RAP1GAP	rgb(0,0,0)
AHI1	rgb(0,0,0)
NDUFA2	rgb(0,0,0)
S100P	rgb(0,0,0)
CEACAM8	rgb(255,0,255)
HOXB2	rgb(0,0,0)
FBXL13	rgb(0,0,0)
SLC4A1	rgb(255,0,255)
CLEC12A	rgb(0,0,0)
TRIM10	rgb(0,0,0)
ARHGEF12	rgb(255,0,255)
GSTM1	rgb(0,0,0)
ITLN1	rgb(0,0,0)
CXCL8	rgb(255,0,255)
