FCRLA
C4BPA
KAZN
TAL1
JAK1
WLS
FCRL5
LIPA
MKI67
MS4A3
SIAE
C2CD3
MMP8
OAS3
OLR1
TAS2R14
TMTC1
COMMD6
CCDC176
GZMH
TMOD2
DNAJA4
TMEM204
NOD2
HP
NUDT7
C17orf97
ITGB3
P2RX1
ALOX15
SLFN13
SIGLEC16
CEACAM8
CD8B
TNS1
SERPINE2
BPI
FAM3B
S100B
BMS1P20
APOBEC3B
LSM3
CAMP
LTF
TFDP2
STAP1
USP53
FGFBP2
LOC389834
SUB1
SMA4
FAM169A
FLJ44896
ISCA1
ENC1
MLLT4
ZNF204P
HLA-DQB1
HLA-DOB
CRISP3
VNN3
GPR146
ABCA13
VWDE
KIAA1324L
PDK4
NRG1
ERICH1
DEFA4
SAMD12
LCN2
NMRK1
CD24
CCDC125
