"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","CXCL5 (pp) ARG1","false","pp","CXCL5 (pp) ARG1",,,,,,,"0.415","0.416"
"pp","CXCL5 (pp) LCN2","false","pp","CXCL5 (pp) LCN2","0.09",,,,,,"0.521","0.495"
"pp","CXCL5 (pp) CD274","false","pp","CXCL5 (pp) CD274","0.099",,,,,,"0.431","0.395"
"pp","CXCL5 (pp) CXCL8","false","pp","CXCL5 (pp) CXCL8","0.35",,"0.3",,,,"0.582","0.157"
"pp","CXCL5 (pp) ACKR1","false","pp","CXCL5 (pp) ACKR1",,,,"0.213",,,"0.796","0.751"
"pp","CXCL5 (pp) CXCL10","false","pp","CXCL5 (pp) CXCL10","0.097",,,,,,"0.781","0.768"
"pp","CAMP (pp) LCN2","false","pp","CAMP (pp) LCN2","0.207",,,,,,"0.635","0.559"
"pp","CAMP (pp) CXCL10","false","pp","CAMP (pp) CXCL10",,,,,,,"0.468","0.468"
"pp","CAMP (pp) CXCL8","false","pp","CAMP (pp) CXCL8",,,,,,,"0.681","0.681"
"pp","CAMP (pp) NOD2","false","pp","CAMP (pp) NOD2","0.139",,,,,,"0.514","0.459"
"pp","CAMP (pp) MMP9","false","pp","CAMP (pp) MMP9","0.14",,,,,,"0.453","0.391"
"pp","CAMP (pp) CD8A","false","pp","CAMP (pp) CD8A",,,,,,,"0.459","0.46"
"pp","CAMP (pp) DEFA4","false","pp","CAMP (pp) DEFA4","0.75",,,,,,"0.822","0.322"
"pp","HPGD (pp) ALOX15","false","pp","HPGD (pp) ALOX15",,,,,,,"0.454","0.454"
"pp","HPGD (pp) ABCC4","false","pp","HPGD (pp) ABCC4",,,,"0.057",,,"0.434","0.425"
"pp","DEFA4 (pp) CRISP3","false","pp","DEFA4 (pp) CRISP3","0.19",,,,,,"0.437","0.334"
"pp","DEFA4 (pp) RNASE3","false","pp","DEFA4 (pp) RNASE3","0.715",,,,,,"0.728","0.087"
"pp","DEFA4 (pp) RNASE2","false","pp","DEFA4 (pp) RNASE2","0.327",,,,,,"0.442","0.206"
"pp","DEFA4 (pp) LCN2","false","pp","DEFA4 (pp) LCN2","0.213",,,,,,"0.453","0.334"
"pp","LIPC (pp) LIPA","false","pp","LIPC (pp) LIPA","0.065",,,,,,"0.77","0.764"
"pp","LIPC (pp) HP","false","pp","LIPC (pp) HP","0.093",,"0.54","0.057",,,"0.616","0.14"
"pp","LIPC (pp) CLU","false","pp","LIPC (pp) CLU",,,"0.54",,,,"0.578","0.12"
"pp","CLEC4D (pp) CLEC12B","false","pp","CLEC4D (pp) CLEC12B","0.316",,,,,,"0.755","0.657"
"pp","CLEC4D (pp) NOD2","false","pp","CLEC4D (pp) NOD2","0.214",,,,,,"0.443","0.321"
