"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","LIPA (pp) ABCG1","false","pp","LIPA (pp) ABCG1","0.063",,,,,,"0.49","0.479"
"pp","PLCB1 (pp) SPTAN1","false","pp","PLCB1 (pp) SPTAN1","0.062",,,,,,"0.469","0.458"
"pp","MS4A4A (pp) TMEM176B","false","pp","MS4A4A (pp) TMEM176B","0.299",,,,,,"0.491","0.304"
"pp","MS4A4A (pp) SIGLEC1","false","pp","MS4A4A (pp) SIGLEC1","0.426",,,,,,"0.525","0.208"
"pp","MS4A4A (pp) TMEM176A","false","pp","MS4A4A (pp) TMEM176A","0.213",,,,,,"0.715","0.654"
"pp","RPS7 (pp) RPS27","false","pp","RPS7 (pp) RPS27","0.999",,"0.9","0.987",,,"0.999","0.415"
"pp","RPS7 (pp) GUK1","false","pp","RPS7 (pp) GUK1","0.137",,,,,,"0.512","0.459"
"pp","RPS7 (pp) RPL35A","false","pp","RPS7 (pp) RPL35A","0.99",,,"0.988",,,"0.999","0.797"
"pp","RPS7 (pp) ISG15","false","pp","RPS7 (pp) ISG15","0.186",,,"0.382",,,"0.491","0.07"
"pp","RPS7 (pp) DOCK4","false","pp","RPS7 (pp) DOCK4","0.733",,,"0.782",,,"0.947","0.171"
"pp","RPS7 (pp) RPL31","false","pp","RPS7 (pp) RPL31","0.991",,,"0.998",,,"0.999","0.63"
"pp","RHD (pp) GYPB","false","pp","RHD (pp) GYPB",,,,,,,"0.791","0.791"
"pp","RHD (pp) GYPA","false","pp","RHD (pp) GYPA","0.107",,,,,,"0.408","0.365"
"pp","SIGLEC1 (pp) CLEC12A","false","pp","SIGLEC1 (pp) CLEC12A","0.288",,,"0.062",,,"0.404","0.18"
"pp","SIGLEC1 (pp) ISG15","false","pp","SIGLEC1 (pp) ISG15","0.114",,,,,,"0.496","0.455"
"pp","SIGLEC1 (pp) RSAD2","false","pp","SIGLEC1 (pp) RSAD2","0.161",,,,,,"0.565","0.504"
"pp","SIGLEC1 (pp) PRF1","false","pp","SIGLEC1 (pp) PRF1","0.13",,,,,,"0.407","0.347"
"pp","SIGLEC1 (pp) IFI44L","false","pp","SIGLEC1 (pp) IFI44L","0.123",,,,,,"0.593","0.556"
"pp","SIGLEC1 (pp) CD8A","false","pp","SIGLEC1 (pp) CD8A","0.104",,,,,,"0.628","0.602"
"pp","SIGLEC1 (pp) MX1","false","pp","SIGLEC1 (pp) MX1","0.134",,,,,,"0.463","0.406"
"pp","SIGLEC1 (pp) IFIT1","false","pp","SIGLEC1 (pp) IFIT1","0.116",,,,,,"0.497","0.455"
"pp","SIGLEC1 (pp) IFI44","false","pp","SIGLEC1 (pp) IFI44","0.112",,,,,,"0.462","0.419"
"pp","ETV7 (pp) KIR2DL3","false","pp","ETV7 (pp) KIR2DL3",,,,,,,"0.504","0.504"
"pp","KIR2DL3 (pp) TIGIT","false","pp","KIR2DL3 (pp) TIGIT","0.095",,,,,,"0.457","0.425"
"pp","KIR2DL3 (pp) CD8A","false","pp","KIR2DL3 (pp) CD8A","0.098",,,,,,"0.626","0.603"
"pp","KIR2DL3 (pp) KLRF1","false","pp","KIR2DL3 (pp) KLRF1","0.152",,,,,,"0.574","0.519"
"pp","KIR2DL3 (pp) PRF1","false","pp","KIR2DL3 (pp) PRF1","0.143",,,,,,"0.7","0.665"
"pp","KIR2DL3 (pp) KLRD1","false","pp","KIR2DL3 (pp) KLRD1","0.09",,"0.8",,,,"0.972","0.86"
"pp","IFI6 (pp) IFI44L","false","pp","IFI6 (pp) IFI44L","0.815",,,,,,"0.952","0.753"
"pp","IFI6 (pp) ISG15","false","pp","IFI6 (pp) ISG15","0.874",,"0.9",,,,"0.996","0.715"
"pp","IFI6 (pp) LY6E","false","pp","IFI6 (pp) LY6E","0.319",,,,,,"0.686","0.559"
"pp","IFI6 (pp) RSAD2","false","pp","IFI6 (pp) RSAD2","0.734",,"0.9",,,,"0.989","0.653"
"pp","IFI6 (pp) IFIT1","false","pp","IFI6 (pp) IFIT1","0.817",,"0.9",,,,"0.994","0.708"
"pp","IFI6 (pp) IFIT3","false","pp","IFI6 (pp) IFIT3","0.783",,"0.9",,,,"0.992","0.681"
"pp","IFI6 (pp) MX1","false","pp","IFI6 (pp) MX1","0.848",,"0.9",,,,"0.994","0.69"
"pp","IFI6 (pp) IFI44","false","pp","IFI6 (pp) IFI44","0.804",,,,,,"0.94","0.711"
"pp","POLR2K (pp) PBX1","false","pp","POLR2K (pp) PBX1",,,"0.6",,,,"0.6",
"pp","JAK1 (pp) ISG15","false","pp","JAK1 (pp) ISG15",,,"0.6","0.102",,,"0.854","0.627"
"pp","JAK1 (pp) IL5RA","false","pp","JAK1 (pp) IL5RA",,,"0.6","0.27",,,"0.746","0.203"
"pp","JAK1 (pp) RSAD2","false","pp","JAK1 (pp) RSAD2",,,,"0.056",,,"0.423","0.414"
"pp","JAK1 (pp) CD8A","false","pp","JAK1 (pp) CD8A",,,,"0.056",,,"0.657","0.652"
"pp","JAK1 (pp) MX1","false","pp","JAK1 (pp) MX1",,,"0.5","0.059",,,"0.786","0.583"
"pp","JAK1 (pp) CD274","false","pp","JAK1 (pp) CD274","0.052",,,,,,"0.561","0.556"
"pp","JAK1 (pp) DNAJC6","false","pp","JAK1 (pp) DNAJC6","0.518",,,"0.111",,,"0.576","0.09"
"pp","JAK1 (pp) IFIT1","false","pp","JAK1 (pp) IFIT1","0.062",,"0.3","0.058",,,"0.622","0.461"
"pp","CLEC12B (pp) CLEC12A","false","pp","CLEC12B (pp) CLEC12A","0.489",,,,,,"0.554","0.163"
"pp","SIGLEC10 (pp) CD24","false","pp","SIGLEC10 (pp) CD24",,,,,,,"0.985","0.984"
"pp","BEND7 (pp) PRPF18","false","pp","BEND7 (pp) PRPF18",,,,,,,"0.765","0.765"
"pp","MYL4 (pp) GYPB","false","pp","MYL4 (pp) GYPB","0.55",,,,,,"0.55",
"pp","MYL4 (pp) ACTA2","false","pp","MYL4 (pp) ACTA2","0.065",,,"0.212",,,"0.433","0.293"
"pp","HP (pp) LCN2","false","pp","HP (pp) LCN2","0.065",,,,,,"0.551","0.54"
"pp","HP (pp) ARG1","false","pp","HP (pp) ARG1","0.161",,,,,,"0.441","0.362"
"pp","HP (pp) C4BPA","false","pp","HP (pp) C4BPA","0.174",,,,,,"0.421","0.329"
"pp","HP (pp) MMP9","false","pp","HP (pp) MMP9","0.062",,,,,,"0.868","0.866"
"pp","ARG1 (pp) CD274","false","pp","ARG1 (pp) CD274",,,,,,,"0.689","0.69"
"pp","ARG1 (pp) PRF1","false","pp","ARG1 (pp) PRF1","0.079",,,,,,"0.475","0.454"
"pp","ARG1 (pp) IDO1","false","pp","ARG1 (pp) IDO1","0.05",,,,,,"0.663","0.66"
"pp","ARG1 (pp) MMP9","false","pp","ARG1 (pp) MMP9",,,,,,,"0.569","0.57"
"pp","ARG1 (pp) CD8A","false","pp","ARG1 (pp) CD8A",,,,,,,"0.69","0.69"
"pp","KLRG1 (pp) TIGIT","false","pp","KLRG1 (pp) TIGIT",,,,,,,"0.622","0.623"
"pp","KLRG1 (pp) CD274","false","pp","KLRG1 (pp) CD274",,,,,,,"0.509","0.51"
"pp","KLRG1 (pp) MKI67","false","pp","KLRG1 (pp) MKI67",,,,,,,"0.423","0.423"
"pp","KLRG1 (pp) FCER1A","false","pp","KLRG1 (pp) FCER1A",,,"0.9",,,,"0.923","0.264"
"pp","KLRG1 (pp) TNFRSF9","false","pp","KLRG1 (pp) TNFRSF9",,,,,,,"0.549","0.549"
"pp","KLRG1 (pp) CD8A","false","pp","KLRG1 (pp) CD8A","0.1",,,,,,"0.776","0.762"
"pp","KLRG1 (pp) PRF1","false","pp","KLRG1 (pp) PRF1","0.097",,,,,,"0.673","0.653"
"pp","ATP2B4 (pp) SLC14A1","false","pp","ATP2B4 (pp) SLC14A1",,,,"0.305",,,"0.416","0.194"
"pp","ATP2B4 (pp) SLC8A1","false","pp","ATP2B4 (pp) SLC8A1","0.077",,,"0.093",,,"0.546","0.502"
"pp","EPHB4 (pp) MMP9","false","pp","EPHB4 (pp) MMP9",,,"0.9",,,,"0.92","0.241"
"pp","GYPE (pp) GYPB","false","pp","GYPE (pp) GYPB","0.537",,,,,,"0.556","0.082"
"pp","GYPA (pp) TRIM10","false","pp","GYPA (pp) TRIM10","0.467",,,,,,"0.467",
"pp","GYPA (pp) ACKR1","false","pp","GYPA (pp) ACKR1",,,,,,,"0.473","0.474"
"pp","GYPA (pp) ITGB3","false","pp","GYPA (pp) ITGB3",,,,,,,"0.637","0.637"
"pp","GYPA (pp) CD24","false","pp","GYPA (pp) CD24",,,,,,,"0.408","0.408"
"pp","GYPA (pp) GYPB","false","pp","GYPA (pp) GYPB","0.527",,"0.8",,,,"0.904","0.076"
"pp","GYPA (pp) CD8A","false","pp","GYPA (pp) CD8A",,,,,,,"0.557","0.557"
"pp","FCRL5 (pp) SLAMF7","false","pp","FCRL5 (pp) SLAMF7","0.111",,,,,,"0.436","0.392"
"pp","ABCG1 (pp) PHOSPHO1","false","pp","ABCG1 (pp) PHOSPHO1",,,,,,,"0.426","0.426"
"pp","C4BPA (pp) F5","false","pp","C4BPA (pp) F5","0.108",,,,,,"0.439","0.397"
"pp","C4BPA (pp) PROS1","false","pp","C4BPA (pp) PROS1","0.062",,"0.6","0.213",,,"0.926","0.78"
"pp","ASPM (pp) AHI1","false","pp","ASPM (pp) AHI1","0.063",,,,,,"0.668","0.661"
"pp","ASPM (pp) CENPK","false","pp","ASPM (pp) CENPK","0.593",,,,,,"0.708","0.312"
"pp","ASPM (pp) CKS2","false","pp","ASPM (pp) CKS2","0.918",,,,,,"0.926","0.143"
"pp","ASPM (pp) MKI67","false","pp","ASPM (pp) MKI67","0.932",,,"0.669",,,"0.985","0.427"
"pp","QSOX1 (pp) SOX6","false","pp","QSOX1 (pp) SOX6","0.062",,,,,,"0.572","0.563"
"pp","DNM3 (pp) HLA-DPB1","false","pp","DNM3 (pp) HLA-DPB1",,,"0.6",,,,"0.6",
"pp","DNM3 (pp) DNAJC6","false","pp","DNM3 (pp) DNAJC6","0.213",,,"0.342",,,"0.758","0.57"
"pp","DNM3 (pp) RAP1GAP","false","pp","DNM3 (pp) RAP1GAP","0.11",,,"0.117",,,"0.49","0.404"
"pp","DNM3 (pp) HLA-DQB1","false","pp","DNM3 (pp) HLA-DQB1",,,"0.6",,,,"0.6",
"pp","F5 (pp) SERPINE2","false","pp","F5 (pp) SERPINE2",,,"0.9","0.113",,,"0.907",
"pp","F5 (pp) MMRN1","false","pp","F5 (pp) MMRN1",,,,"0.628",,,"0.832","0.568"
"pp","F5 (pp) PROS1","false","pp","F5 (pp) PROS1","0.063",,"0.9","0.486",,,"0.972","0.501"
"pp","XCL1 (pp) CD8A","false","pp","XCL1 (pp) CD8A","0.125",,,,,,"0.631","0.596"
"pp","XCL1 (pp) PRF1","false","pp","XCL1 (pp) PRF1","0.098",,,,,,"0.423","0.387"
"pp","XCL1 (pp) CST7","false","pp","XCL1 (pp) CST7","0.429",,,,,,"0.461","0.096"
"pp","VNN1 (pp) LCN2","false","pp","VNN1 (pp) LCN2","0.123",,,,,,"0.474","0.425"
"pp","VNN1 (pp) VNN3","false","pp","VNN1 (pp) VNN3","0.111",,"0.8",,,,"0.82","0.071"
"pp","VNN1 (pp) SERPINE2","false","pp","VNN1 (pp) SERPINE2",,,,,,,"0.764","0.764"
"pp","FCRLA (pp) HLA-DOB","false","pp","FCRLA (pp) HLA-DOB","0.23",,,,,,"0.502","0.38"
"pp","FCRLA (pp) TCL1A","false","pp","FCRLA (pp) TCL1A","0.213",,,,,,"0.423","0.298"
"pp","SLAMF7 (pp) PRF1","false","pp","SLAMF7 (pp) PRF1","0.099",,,,,,"0.4","0.362"
"pp","SLAMF7 (pp) KLRF1","false","pp","SLAMF7 (pp) KLRF1","0.093",,,,,,"0.485","0.456"
"pp","SLAMF7 (pp) KLRD1","false","pp","SLAMF7 (pp) KLRD1","0.089",,,,,,"0.481","0.454"
"pp","SLAMF7 (pp) TNFRSF9","false","pp","SLAMF7 (pp) TNFRSF9","0.076",,,,,,"0.414","0.392"
"pp","SLAMF7 (pp) CD8A","false","pp","SLAMF7 (pp) CD8A","0.161",,,,,,"0.495","0.424"
"pp","SLAMF7 (pp) CD274","false","pp","SLAMF7 (pp) CD274","0.121",,,,,,"0.445","0.395"
"pp","FCER1A (pp) CD8A","false","pp","FCER1A (pp) CD8A","0.101",,,,,,"0.412","0.373"
"pp","ACKR1 (pp) RSAD2","false","pp","ACKR1 (pp) RSAD2",,,,,,,"0.691","0.691"
"pp","ACKR1 (pp) CD8A","false","pp","ACKR1 (pp) CD8A",,,,,,,"0.467","0.467"
"pp","RPS27 (pp) RPL35A","false","pp","RPS27 (pp) RPL35A","0.994",,,"0.981",,,"0.999","0.741"
"pp","RPS27 (pp) COX7C","false","pp","RPS27 (pp) COX7C","0.789",,,,,,"0.792","0.057"
"pp","RPS27 (pp) DOCK4","false","pp","RPS27 (pp) DOCK4","0.358",,,"0.693",,,"0.816","0.144"
"pp","RPS27 (pp) ISG15","false","pp","RPS27 (pp) ISG15","0.167",,,"0.346",,,"0.447","0.067"
"pp","RPS27 (pp) RPL31","false","pp","RPS27 (pp) RPL31","0.984",,,"0.985",,,"0.999","0.773"
"pp","MKI67 (pp) CKS2","false","pp","MKI67 (pp) CKS2","0.455",,,,,,"0.625","0.341"
"pp","MKI67 (pp) MMP9","false","pp","MKI67 (pp) MMP9",,,,,,,"0.516","0.517"
"pp","MKI67 (pp) CD24","false","pp","MKI67 (pp) CD24","0.079",,,,,,"0.405","0.381"
"pp","MKI67 (pp) CD8A","false","pp","MKI67 (pp) CD8A",,,,,,,"0.526","0.526"
"pp","MKI67 (pp) CENPK","false","pp","MKI67 (pp) CENPK","0.341",,,"0.391",,,"0.581",
"pp","MKI67 (pp) CD274","false","pp","MKI67 (pp) CD274",,,,,,,"0.449","0.449"
"pp","MKI67 (pp) ACTA2","false","pp","MKI67 (pp) ACTA2",,,,,,,"0.584","0.584"
"pp","IFI44 (pp) IFIT3","false","pp","IFI44 (pp) IFIT3","0.822",,,,,,"0.951","0.74"
"pp","IFI44 (pp) RSAD2","false","pp","IFI44 (pp) RSAD2","0.814",,,,,,"0.943","0.71"
"pp","IFI44 (pp) IFIT1","false","pp","IFI44 (pp) IFIT1","0.84",,,,,,"0.968","0.809"
"pp","IFI44 (pp) MX1","false","pp","IFI44 (pp) MX1","0.825",,,,,,"0.952","0.739"
"pp","IFI44 (pp) LY6E","false","pp","IFI44 (pp) LY6E","0.185",,,,,,"0.66","0.6"
"pp","IFI44 (pp) ISG15","false","pp","IFI44 (pp) ISG15","0.848",,,,,,"0.953","0.708"
"pp","IFI44 (pp) IFI44L","false","pp","IFI44 (pp) IFI44L","0.888",,,,,,"0.896","0.108"
"pp","IFI44 (pp) SPATS2L","false","pp","IFI44 (pp) SPATS2L","0.115",,,,,,"0.44","0.394"
"pp","IFI44 (pp) PARP14","false","pp","IFI44 (pp) PARP14","0.312",,,,,,"0.528","0.342"
"pp","IFI44L (pp) SPATS2L","false","pp","IFI44L (pp) SPATS2L","0.109",,,,,,"0.463","0.422"
"pp","IFI44L (pp) PARP14","false","pp","IFI44L (pp) PARP14","0.538",,,,,,"0.648","0.271"
"pp","IFI44L (pp) ISG15","false","pp","IFI44L (pp) ISG15","0.808",,,,,,"0.937","0.687"
"pp","IFI44L (pp) LY6E","false","pp","IFI44L (pp) LY6E","0.333",,,,,,"0.747","0.636"
"pp","IFI44L (pp) MX1","false","pp","IFI44L (pp) MX1","0.834",,,,,,"0.952","0.726"
"pp","IFI44L (pp) IFIT3","false","pp","IFI44L (pp) IFIT3","0.836",,,,,,"0.951","0.716"
"pp","IFI44L (pp) RSAD2","false","pp","IFI44L (pp) RSAD2","0.84",,,,,,"0.956","0.742"
"pp","IFI44L (pp) IFIT1","false","pp","IFI44L (pp) IFIT1","0.841",,,,,,"0.962","0.773"
"pp","DNAJC6 (pp) MX1","false","pp","DNAJC6 (pp) MX1","0.064",,,"0.342",,,"0.532","0.302"
"pp","DNAJC6 (pp) DNAJA4","false","pp","DNAJC6 (pp) DNAJA4","0.065",,,"0.091",,,"0.544","0.507"
"pp","IFIT1 (pp) PARP14","false","pp","IFIT1 (pp) PARP14","0.266",,,"0.06",,,"0.5","0.335"
"pp","IFIT1 (pp) LY6E","false","pp","IFIT1 (pp) LY6E","0.195",,,,,,"0.596","0.519"
"pp","IFIT1 (pp) ISG15","false","pp","IFIT1 (pp) ISG15","0.875",,"0.6","0.16",,,"0.994","0.884"
"pp","IFIT1 (pp) RSAD2","false","pp","IFIT1 (pp) RSAD2","0.886",,"0.9","0.154",,,"0.998","0.833"
"pp","IFIT1 (pp) IFIT3","false","pp","IFIT1 (pp) IFIT3","0.999",,"0.9","0.974",,,"0.999","0.135"
"pp","IFIT1 (pp) MX1","false","pp","IFIT1 (pp) MX1","0.914",,"0.5",,,,"0.994","0.884"
"pp","IFIT3 (pp) LY6E","false","pp","IFIT3 (pp) LY6E","0.202",,,,,,"0.631","0.557"
"pp","IFIT3 (pp) ISG15","false","pp","IFIT3 (pp) ISG15","0.841",,"0.9","0.16",,,"0.996","0.793"
"pp","IFIT3 (pp) RSAD2","false","pp","IFIT3 (pp) RSAD2","0.824",,"0.9","0.398",,,"0.996","0.716"
"pp","IFIT3 (pp) PARP14","false","pp","IFIT3 (pp) PARP14","0.689",,,"0.06",,,"0.785","0.325"
"pp","IFIT3 (pp) CD274","false","pp","IFIT3 (pp) CD274","0.279",,,,,,"0.419","0.228"
"pp","IFIT3 (pp) MX1","false","pp","IFIT3 (pp) MX1","0.838",,"0.9",,,,"0.995","0.763"
"pp","MMP9 (pp) CD274","false","pp","MMP9 (pp) CD274","0.096",,,,,,"0.488","0.457"
"pp","MMP9 (pp) ACTA2","false","pp","MMP9 (pp) ACTA2",,,,,,,"0.574","0.574"
"pp","MMP9 (pp) SERPINE2","false","pp","MMP9 (pp) SERPINE2",,,,"0.056",,,"0.591","0.585"
"pp","MMP9 (pp) NRG1","false","pp","MMP9 (pp) NRG1",,,,,,,"0.401","0.401"
"pp","MMP9 (pp) ITGB3","false","pp","MMP9 (pp) ITGB3","0.065",,,"0.069",,,"0.505","0.478"
"pp","MMP9 (pp) LCN2","false","pp","MMP9 (pp) LCN2","0.096",,"0.9","0.67",,,"0.999","0.989"
"pp","MMP9 (pp) IL1R1","false","pp","MMP9 (pp) IL1R1","0.062",,,,,,"0.436","0.424"
"pp","MMP9 (pp) SPP1","false","pp","MMP9 (pp) SPP1","0.111",,,,,,"0.717","0.695"
"pp","MMP9 (pp) SERPINB2","false","pp","MMP9 (pp) SERPINB2","0.096",,,"0.056",,,"0.471","0.43"
"pp","MMP9 (pp) CD8A","false","pp","MMP9 (pp) CD8A","0.087",,,,,,"0.619","0.6"
"pp","SPTAN1 (pp) ACTA2","false","pp","SPTAN1 (pp) ACTA2",,,,"0.35",,,"0.416","0.139"
"pp","LCN2 (pp) SPP1","false","pp","LCN2 (pp) SPP1","0.062",,,,,,"0.614","0.606"
"pp","LPAR1 (pp) ARHGEF12","false","pp","LPAR1 (pp) ARHGEF12","0.084",,,"0.213",,,"0.711","0.632"
"pp","LPAR1 (pp) CDA","false","pp","LPAR1 (pp) CDA",,,,,,,"0.536","0.536"
"pp","ALPL (pp) PHOSPHO1","false","pp","ALPL (pp) PHOSPHO1","0.061",,,,,,"0.665","0.658"
"pp","ALPL (pp) SPP1","false","pp","ALPL (pp) SPP1","0.065",,,,,,"0.708","0.701"
"pp","HLA-DQB1 (pp) HLA-DOB","false","pp","HLA-DQB1 (pp) HLA-DOB","0.127",,"0.72",,,,"0.754","0.076"
"pp","HLA-DQB1 (pp) CD274","false","pp","HLA-DQB1 (pp) CD274","0.064",,"0.9",,,,"0.925","0.268"
"pp","HLA-DQB1 (pp) HLA-DPB1","false","pp","HLA-DQB1 (pp) HLA-DPB1","0.273",,"0.72",,,,"0.794","0.073"
"pp","HLA-DQB1 (pp) MLLT4","false","pp","HLA-DQB1 (pp) MLLT4",,,,,,,"0.539","0.539"
"pp","HLA-DQB1 (pp) ABCA13","false","pp","HLA-DQB1 (pp) ABCA13",,,,,,,"0.475","0.475"
"pp","HLA-DQB1 (pp) CD8A","false","pp","HLA-DQB1 (pp) CD8A","0.099",,,,,,"0.454","0.419"
"pp","HLA-DQB1 (pp) SERPINB2","false","pp","HLA-DQB1 (pp) SERPINB2",,,,,,,"0.416","0.416"
"pp","ISCA1 (pp) FECH","false","pp","ISCA1 (pp) FECH","0.114",,,,,,"0.797","0.781"
"pp","ISG15 (pp) DOCK4","false","pp","ISG15 (pp) DOCK4","0.106",,,"0.348",,,"0.408","0.067"
"pp","ISG15 (pp) MX1","false","pp","ISG15 (pp) MX1","0.882",,"0.6","0.149",,,"0.994","0.881"
"pp","ISG15 (pp) CD8A","false","pp","ISG15 (pp) CD8A","0.062",,,,,,"0.468","0.457"
"pp","ISG15 (pp) RSAD2","false","pp","ISG15 (pp) RSAD2","0.825",,"0.9",,,,"0.997","0.883"
"pp","ISG15 (pp) LY6E","false","pp","ISG15 (pp) LY6E","0.352",,,,,,"0.699","0.556"
"pp","ISG15 (pp) RPL31","false","pp","ISG15 (pp) RPL31","0.192",,,"0.343",,,"0.474","0.09"
"pp","ISG15 (pp) RPL35A","false","pp","ISG15 (pp) RPL35A","0.186",,,"0.344",,,"0.455","0.063"
"pp","ISG15 (pp) PARP14","false","pp","ISG15 (pp) PARP14","0.645",,,,,,"0.768","0.373"
"pp","TUBB2A (pp) ACTA2","false","pp","TUBB2A (pp) ACTA2","0.085",,,"0.166",,,"0.453","0.342"
"pp","TUBB2A (pp) MX1","false","pp","TUBB2A (pp) MX1",,,,"0.259",,,"0.584","0.462"
"pp","TUBB2A (pp) JUP","false","pp","TUBB2A (pp) JUP",,,,"0.057",,,"0.418","0.408"
"pp","CD274 (pp) CLEC4C","false","pp","CD274 (pp) CLEC4C",,,,,,,"0.414","0.414"
"pp","CD274 (pp) TIGIT","false","pp","CD274 (pp) TIGIT","0.049",,,,,,"0.836","0.834"
"pp","CD274 (pp) TNFRSF9","false","pp","CD274 (pp) TNFRSF9","0.062",,,,,,"0.787","0.783"
"pp","CD274 (pp) CD200","false","pp","CD274 (pp) CD200","0.062",,,,,,"0.608","0.6"
"pp","CD274 (pp) HLA-DPB1","false","pp","CD274 (pp) HLA-DPB1","0.049",,"0.9",,,,"0.92","0.235"
"pp","CD274 (pp) KLRD1","false","pp","CD274 (pp) KLRD1",,,,,,,"0.558","0.558"
"pp","CD274 (pp) PRF1","false","pp","CD274 (pp) PRF1",,,,,,,"0.685","0.686"
"pp","CD274 (pp) MLLT4","false","pp","CD274 (pp) MLLT4",,,,,,,"0.426","0.426"
"pp","CD274 (pp) IDO1","false","pp","CD274 (pp) IDO1","0.108",,,,,,"0.835","0.823"
"pp","CD274 (pp) CD24","false","pp","CD274 (pp) CD24",,,,,,,"0.414","0.415"
"pp","CD274 (pp) CD8A","false","pp","CD274 (pp) CD8A","0.062",,,,,,"0.883","0.881"
"pp","CD274 (pp) SERPINB2","false","pp","CD274 (pp) SERPINB2","0.088",,,,,,"0.403","0.373"
"pp","KLRD1 (pp) PRF1","false","pp","KLRD1 (pp) PRF1","0.34",,,,,,"0.819","0.738"
"pp","KLRD1 (pp) KLRF1","false","pp","KLRD1 (pp) KLRF1","0.332",,,,,,"0.468","0.237"
"pp","KLRD1 (pp) CD8A","false","pp","KLRD1 (pp) CD8A","0.329",,,,,,"0.799","0.714"
"pp","KLRD1 (pp) TNFRSF9","false","pp","KLRD1 (pp) TNFRSF9","0.14",,,,,,"0.474","0.414"
"pp","KLRD1 (pp) LILRA5","false","pp","KLRD1 (pp) LILRA5","0.127",,,,,,"0.427","0.371"
"pp","KLRD1 (pp) TIGIT","false","pp","KLRD1 (pp) TIGIT","0.11",,,,,,"0.615","0.585"
"pp","RSAD2 (pp) PARP14","false","pp","RSAD2 (pp) PARP14","0.602",,,"0.4",,,"0.805","0.25"
"pp","RSAD2 (pp) MX1","false","pp","RSAD2 (pp) MX1","0.871",,"0.9",,,,"0.997","0.832"
"pp","RSAD2 (pp) LY6E","false","pp","RSAD2 (pp) LY6E","0.213",,,,,,"0.603","0.517"
"pp","FECH (pp) GYPB","false","pp","FECH (pp) GYPB","0.297",,,,,,"0.659","0.536"
"pp","FECH (pp) BPGM","false","pp","FECH (pp) BPGM","0.227",,,,,,"0.478","0.353"
"pp","MLLT4 (pp) CD24","false","pp","MLLT4 (pp) CD24","0.069",,,,,,"0.413","0.395"
"pp","MLLT4 (pp) CD8A","false","pp","MLLT4 (pp) CD8A",,,,,,,"0.603","0.604"
"pp","MLLT4 (pp) PTPRM","false","pp","MLLT4 (pp) PTPRM",,,"0.9",,,,"0.903","0.075"
"pp","MLLT4 (pp) RAP1GAP","false","pp","MLLT4 (pp) RAP1GAP",,,,"0.316",,,"0.683","0.556"
"pp","BPGM (pp) HEMGN","false","pp","BPGM (pp) HEMGN",,,,,,,"0.451","0.451"
"pp","DNAJA4 (pp) SERPINB2","false","pp","DNAJA4 (pp) SERPINB2",,,,,,,"0.483","0.484"
"pp","SPP1 (pp) ITGB3","false","pp","SPP1 (pp) ITGB3","0.049",,"0.9",,,,"0.945","0.469"
"pp","SPP1 (pp) ACTA2","false","pp","SPP1 (pp) ACTA2",,,,,,,"0.465","0.466"
"pp","SPP1 (pp) CD8A","false","pp","SPP1 (pp) CD8A",,,,,,,"0.45","0.45"
"pp","SPP1 (pp) CRISP3","false","pp","SPP1 (pp) CRISP3","0.049",,,,,,"0.569","0.566"
"pp","SOX6 (pp) CENPK","false","pp","SOX6 (pp) CENPK",,,,"0.27",,,"0.649","0.539"
"pp","SOX6 (pp) PBX1","false","pp","SOX6 (pp) PBX1",,,,,,,"0.509","0.509"
"pp","SLC12A1 (pp) SLC14A1","false","pp","SLC12A1 (pp) SLC14A1",,,,,,,"0.451","0.452"
"pp","SLC12A1 (pp) SERPINB2","false","pp","SLC12A1 (pp) SERPINB2",,,,,,,"0.422","0.423"
"pp","MX1 (pp) LY6E","false","pp","MX1 (pp) LY6E","0.234",,,,,,"0.71","0.638"
"pp","MX1 (pp) PARP14","false","pp","MX1 (pp) PARP14","0.508",,,,,"0.042","0.627","0.274"
"pp","MX1 (pp) CLEC4C","false","pp","MX1 (pp) CLEC4C",,,,,,,"0.465","0.466"
"pp","MX1 (pp) CD8A","false","pp","MX1 (pp) CD8A","0.062",,,,,,"0.573","0.564"
"pp","GRB10 (pp) ZFP57","false","pp","GRB10 (pp) ZFP57","0.062",,,,,,"0.498","0.487"
"pp","TCL1A (pp) CLEC4C","false","pp","TCL1A (pp) CLEC4C","0.065",,,,,,"0.554","0.543"
"pp","TCL1A (pp) MYBL1","false","pp","TCL1A (pp) MYBL1","0.052",,,,,,"0.46","0.454"
"pp","IL1R1 (pp) CD8A","false","pp","IL1R1 (pp) CD8A",,,,,,,"0.564","0.564"
"pp","CD8A (pp) HLA-DPB1","false","pp","CD8A (pp) HLA-DPB1","0.096",,,,,,"0.457","0.424"
"pp","CD8A (pp) CD24","false","pp","CD8A (pp) CD24",,,,,,,"0.681","0.681"
"pp","CD8A (pp) IDO1","false","pp","CD8A (pp) IDO1",,,,,,,"0.71","0.71"
"pp","CD8A (pp) PRF1","false","pp","CD8A (pp) PRF1","0.55",,,,,,"0.943","0.88"
"pp","CD8A (pp) TIGIT","false","pp","CD8A (pp) TIGIT","0.179",,,,,,"0.732","0.687"
