CDA
KIAA1324
FCER1A
SLAMF7
PBX1
ATP2B4
UTS2
RAP1GAP
PDZK1IP1
TGFBR3
CD160
FCRL1
F5
PRPF18
BEND7
ANK3
ACTA2
HPS1
ARHGAP42
ARHGEF12
SOX6
TCN1
KLRG1
KLRD1
CLEC4C
KLRC4
EPSTI1
LINC00282
ABCC4
RNASE3
RNASE2
CMTM5
PLEK2
SLC12A1
RBPMS2
JUP
SERPINB2
SERPINB10
CFD
ZNF626
CD177
ZNF83
LILRA3
LILRA5
RSAD2
LGALSL
KYNU
SLC8A1
FRG1B
MMP9
LINC01270
LGALS2
CTDSPL
CD200
TIGIT
NUDT16P1
IL5RA
PROS1
PDCD10
SRD5A3
NFXL1
CXCL5
GYPE
GZMK
F2RL1
COX7C
RHOBTB3
PAM
BTNL3
EBF1
RNF144B
LRRC16A
SERPINB9P1
CCDC146
ORAI2
LSMEM1
HIP1
EPHB4
MYOM2
IDO1
POLB
CSGALNACT1
FUT10
CKS2
HEMGN
CTNNAL1
