ISG15
KIF1B
RPS27
DNAJC6
IL23R
AK5
ACKR1
FCRLA
XCL1
C4BPA
GUK1
KAZN
TAL1
JAK1
WLS
FCRL5
B3GALT2
IFIT3
IFIT1
NEBL
ENKUR
LIPA
MKI67
SERPING1
MS4A3
MS4A4A
SIAE
CPT1A
C2CD3
SESN3
MMP8
CLEC4D
CLEC12B
TCP11L2
OAS3
OLR1
TAS2R14
TMTC1
OASL
OLFM4
COMMD6
CCDC176
GZMH
TCL1A
TMOD2
DNAJA4
TMEM204
MMP25
TNFRSF17
FUS
NOD2
HP
NUDT7
NPRL3
C17orf97
MYL4
ITGB3
SPATA20
P2RX1
ALOX15
SLFN13
SLC4A1
PHOSPHO1
PTPRM
FECH
ZNF493
CEACAM6
SIGLEC16
UBXN6
CEACAM8
RPS7
RPL31
IL1R1
CD8B
PAX8-AS1
DHRS9
MFSD9
TNS1
SERPINE2
PLCB1
CST7
BPI
FAM210B
SIGLEC1
BCL2L1
LINC00189
FAM3B
ABCG1
S100B
TPTEP1
USP18
BMS1P20
APOBEC3B
PVALB
LSM3
CAMP
PARP14
IL1RAP
RPL35A
LTF
TFDP2
P2RY12
STAP1
HERC5
USP53
FAM160A1
NEIL3
FGFBP2
TSPAN5
LOC389834
SUB1
SMA4
FAM169A
FLJ44896
SLC12A7
CMBL
ANKRD55
ISCA1
ENC1
NDUFA2
CLK4
HLA-DPB1
NT5E
MLLT4
ZNF204P
ZFP57
HLA-DQB1
HLA-DOB
CRISP3
VNN3
AHI1
RNASET2
GPR146
ABCA13
TMEM176A
VWDE
ERV3-1
KIAA1324L
PDK4
FBXL13
DOCK4
NRG1
LY6E
ERICH1
DEFA4
CLU
PCMTD1
MYBL1
NIPAL2
SAMD12
LCN2
SPTAN1
TMEM252
NMRK1
LPAR1
CD24
CCDC125
CDA
KIAA1324
FCER1A
SLAMF7
PBX1
ATP2B4
UTS2
RAP1GAP
PDZK1IP1
TGFBR3
CD160
FCRL1
F5
PRPF18
BEND7
ANK3
ACTA2
HPS1
ARHGAP42
ARHGEF12
SOX6
TCN1
KLRG1
KLRD1
CLEC4C
KLRC4
EPSTI1
LINC00282
ABCC4
RNASE3
RNASE2
CMTM5
PLEK2
SLC12A1
RBPMS2
JUP
SERPINB2
SERPINB10
CFD
ZNF626
CD177
ZNF83
LILRA3
LILRA5
RSAD2
LGALSL
KYNU
SLC8A1
FRG1B
MMP9
LINC01270
LGALS2
CTDSPL
CD200
TIGIT
NUDT16P1
IL5RA
PROS1
PDCD10
SRD5A3
NFXL1
CXCL5
GYPE
GZMK
F2RL1
COX7C
RHOBTB3
PAM
BTNL3
EBF1
RNF144B
LRRC16A
SERPINB9P1
CCDC146
ORAI2
LSMEM1
HIP1
EPHB4
MYOM2
IDO1
POLB
CSGALNACT1
FUT10
CKS2
HEMGN
CTNNAL1
