hsa-miR-885-5p
hsa-miR-122-5p
hsa-miR-34a-3p
hsa-miR-182-5p
hsa-miR-95-3p
hsa-miR-1244
hsa-miR-545-5p
hsa-miR-642a-5p
hsa-miR-365a-3p
hsa-miR-29a-5p
hsa-miR-424-5p
hsa-miR-135a-5p
hsa-miR-378a-5p
hsa-miR-145-3p
hsa-miR-31-5p
hsa-miR-144-5p
